Name,Start,End
Andromeda,8,15
Andromeda,15,21
Andromeda,21,11
Andromeda,11,5
Andromeda,5,6
Andromeda,5,7
Andromeda,7,17
Andromeda,17,16
Andromeda,16,14
Andromeda,14,10
Andromeda,16,9
Andromeda,7,4
Andromeda,7,18
Andromeda,18,12
Andromeda,12,19
Antlia,1,2
Antlia,2,4
Antlia,4,1
Antlia,1,3
Apus,1,2
Apus,2,3
Apus,3,4
Aquarius,14,16
Aquarius,16,23
Aquarius,23,18
Aquarius,6,12
Aquarius,12,8
Aquarius,14,8
Aquarius,8,25
Aquarius,25,10
Aquarius,10,7
Aquarius,7,11
Aquarius,7,20
Aquarius,10,5
Aquarius,5,13
Aquarius,13,15
Aquarius,5,4
Aquarius,4,19
Aquarius,19,21
Aquarius,21,9
Aquila,7,1
Aquila,1,2
Aquila,2,5
Aquila,5,3
Aquila,3,9
Aquila,5,8
Aquila,8,4
Aquila,4,10
Aquila,10,6
Aquila,6,5
Aquila,6,3
Ara,6,2
Ara,2,1
Ara,2,8
Ara,1,4
Ara,4,5
Ara,5,7
Ara,7,3
Ara,3,8
Aries,3,1
Aries,1,7
Aries,1,2
Aries,2,4
Aries,1,6
Aries,6,8
Aries,6,5
Aries,3,9
Auriga,10,5
Auriga,10,4
Auriga,5,6
Auriga,7,4
Auriga,4,8
Auriga,8,11
Auriga,5,4
Boötes,6,5
Boötes,5,2
Boötes,2,1
Boötes,1,9
Boötes,1,3
Boötes,3,14
Boötes,1,8
Boötes,8,4
Boötes,4,6
Boötes,4,12
Boötes,12,10
Boötes,12,16
Boötes,10,16
Caelum,3,2
Caelum,2,1
Caelum,1,4
Camelopardalis,1,3
Camelopardalis,3,4
Camelopardalis,4,5
Camelopardalis,2,5
Camelopardalis,7,1
Camelopardalis,3,6
Cancer,6,4
Cancer,3,4
Cancer,4,5
Cancer,6,8
Canes Venatici,7,6
Canis Major,5,2
Canis Major,2,11
Canis Major,11,10
Canis Major,10,9
Canis Major,9,11
Canis Major,2,4
Canis Major,4,6
Canis Major,4,3
Canis Major,3,7
Canis Minor,1,2
Capricornus,2,5
Capricornus,5,11
Capricornus,11,7
Capricornus,7,12
Capricornus,12,4
